,Unnamed: 0,source,title,url,published_at,description,content,fetched_from,published_at_parsed,combined_text,relevance_score
128,128,Pypi.org,kaxanuk.data-curator 0.40.2,https://pypi.org/project/kaxanuk.data-curator/,2025-06-05T20:59:32Z,Tool for retrieving and combining financial and related data for informing security investments,"KaxaNuk Data Curator
Tool for building a structured database for market, fundamental and alternative data obtained
from different financial data provider web services.
Allows for easy creation of … [+3453 chars]",newsapi,2025-06-05 20:59:32+00:00,kaxanuk.data-curator 0.40.2. Tool for retrieving and combining financial and related data for informing security investments. ,0.44189748
255,255,mondaq.com,Data Security And Legal Compliance In The Technology Industry,https://www.mondaq.com:443/unitedstates/privacy-protection/1630434/data-security-and-legal-compliance-in-the-technology-industry,,mondaq.com,20250604T001500Z,gdelt,,Data Security And Legal Compliance In The Technology Industry. mondaq.com. ,0.3889492
204,204,infoworld.com,Snowflake acquires Crunchy Data for enterprise - grade PostgreSQL to counter Databrick Neon buy,https://www.infoworld.com/article/4001149/snowflake-acquires-crunchy-data-for-enterprise-grade-postgresql-to-counter-databricks-neon-buy.html,,infoworld.com,20250604T004500Z,gdelt,,Snowflake acquires Crunchy Data for enterprise - grade PostgreSQL to counter Databrick Neon buy. infoworld.com. ,0.37569356
166,166,aviationweek.com,Space Force And NGA Delineate Commercial Data - Buying Roles,https://aviationweek.com/space/budget-policy-regulation/space-force-nga-delineate-commercial-data-buying-roles,,aviationweek.com,20250604T093000Z,gdelt,,Space Force And NGA Delineate Commercial Data - Buying Roles. aviationweek.com. ,0.3627441
132,132,Fox News,"Major data broker hack impacts 364,000 individuals’ data",https://www.foxnews.com/tech/major-data-broker-hack-impacts-over-364000-individuals-data,2025-06-05T14:00:34Z,"Personal information from 364,000 people was compromised in a LexisNexis data breach that went undetected for months, highlighting privacy risks.","Americans personal data is now spread across more digital platforms than ever. From online shopping habits to fitness tracking logs, personal information ends up in hundreds of company databases. Whi… [+8767 chars]",newsapi,2025-06-05 14:00:34+00:00,"Major data broker hack impacts 364,000 individuals’ data. Personal information from 364,000 people was compromised in a LexisNexis data breach that went undetected for months, highlighting privacy risks.. ",0.33876312
23,23,W3.org,Call for Participation in Semantic Construction Product Data Community Group,https://www.w3.org/community/semantic-construction/2025/06/10/call-for-participation-in-semantic-construction-product-data-community-group/,2025-06-10T12:34:38Z,"The Semantic Construction Product Data Community Group has been launched: Product information in the construction industry today is highly fragmented—scattered across Environmental Product Declarations (EPDs), BIM models (e.g., IFC), Product Data Templates (P…","The Semantic Construction Product Data Community Group has been launched:
Product information in the construction industry today is highly fragmentedscattered across Environmental Product Declaratio… [+2697 chars]",newsapi,2025-06-10 12:34:38+00:00,"Call for Participation in Semantic Construction Product Data Community Group. The Semantic Construction Product Data Community Group has been launched: Product information in the construction industry today is highly fragmented—scattered across Environmental Product Declarations (EPDs), BIM models (e.g., IFC), Product Data Templates (P…. ",0.33300662
221,221,jdsupra.com,"AI Moratorium , Bulk Data Controls , and Enforcement Trends | Hinshaw & Culbertson - Privacy , Cyber & AI Decoded",https://www.jdsupra.com/legalnews/ai-moratorium-bulk-data-controls-and-8362497/,,jdsupra.com,20250605T014500Z,gdelt,,"AI Moratorium , Bulk Data Controls , and Enforcement Trends | Hinshaw & Culbertson - Privacy , Cyber & AI Decoded. jdsupra.com. ",0.3284803
44,44,Financial Post,Thales Launches File Activity Monitoring (FAM) to Strengthen Real-Time Visibility and Control Over Unstructured Data,https://financialpost.com/pmn/business-wire-news-releases-pmn/thales-launches-file-activity-monitoring-fam-to-strengthen-real-time-visibility-and-control-over-unstructured-data,2025-06-10T07:07:38Z,"New capability gives instant visibility to detect misuse, enforce compliance, and strengthen data protection across on-premises, hybrid, and multicloud environments. Continuous data discovery, classification, and monitoring forms the foundation of effective D…","<ul><li>New capability gives instant visibility to detect misuse, enforce compliance, and strengthen data protection across on-premises, hybrid, and multicloud environments.</li><li>Continuous data d… [+7853 chars]",newsapi,2025-06-10 07:07:38+00:00,"Thales Launches File Activity Monitoring (FAM) to Strengthen Real-Time Visibility and Control Over Unstructured Data. New capability gives instant visibility to detect misuse, enforce compliance, and strengthen data protection across on-premises, hybrid, and multicloud environments. Continuous data discovery, classification, and monitoring forms the foundation of effective D…. ",0.32002127
22,22,Wired,Airlines Don’t Want You to Know They Sold Your Flight Data to DHS,https://www.wired.com/story/airlines-dont-want-you-to-know-they-sold-your-flight-data-to-dhs/,2025-06-10T13:00:00Z,A contract obtained by 404 Media shows that an airline-owned data broker forbids the feds from revealing it sold them detailed passenger data.,"A data broker owned by the countrys major airlines, including Delta, American Airlines, and United, collected US travelers domestic flight records, sold access to them to Customs and Border Protectio… [+4956 chars]",newsapi,2025-06-10 13:00:00+00:00,Airlines Don’t Want You to Know They Sold Your Flight Data to DHS. A contract obtained by 404 Media shows that an airline-owned data broker forbids the feds from revealing it sold them detailed passenger data.. ,0.31612474
212,212,marketscreener.com,Western Digital : FY2023 Limited Assurance Statement,https://www.marketscreener.com/quote/stock/WESTERN-DIGITAL-CORPORATI-10721582/news/Western-Digital-FY2023-Limited-Assurance-Statement-50162150/,,marketscreener.com,20250605T033000Z,gdelt,,Western Digital : FY2023 Limited Assurance Statement. marketscreener.com. ,0.3044594
